,0
265,1570289.144450812
266,1579449.600721751
267,1575060.9137182732
268,1576073.2794157146
269,1547051.7018991814
270,1547206.5439599655
271,1572589.2562036247
272,1576415.5888480067
273,1580342.8903023389
274,1536078.7564793848
275,1535052.829371012
276,1525713.193402102
277,1562896.594595338
278,1557881.4746039694
279,1582272.2543304255
280,1577150.1315352337
281,1600967.86019337
282,1611559.5383209023
283,1630283.29294088
284,1632488.3944482803
285,1630711.3471289931
286,1614115.3884864193
287,1628575.8567727937
288,1616929.2065111105
289,1614944.412798013
290,1631830.3580850163
291,1637901.2443943936
292,1643309.1239045197
293,1653011.6586625774
294,1677350.2473786531
295,1673032.2291305498
296,1671191.2197110485
297,1667021.2113985594
298,1680993.429175396
299,1688714.022681187
300,1690729.8289968858
301,1698027.112924381
302,1701954.9857391063
303,1700167.770254145
304,1676092.428228486
305,1692795.4986087214
306,1710773.6222380057
307,1712989.5786819276
308,1714205.132961293
309,1718554.9983702959
310,1715033.1935830917
311,1725885.3834427518
312,1713390.8460336763
313,1733076.4943194557
314,1742980.6749485037
315,1748081.537951185
316,1738416.5205759264
317,1742765.5576574495
318,1757983.1910320476
319,1758552.7956158756
320,1761069.7296259266
321,1784222.1071540054
322,1795106.1181781257
323,1767895.5928144238
324,1776914.3977934245
325,1781851.1498295309
326,1780953.1727703006
327,1788053.5689352038
328,1812680.0883199158
329,1824187.8487592866
330,1777789.1847567079
331,1802517.5169084019
332,1826245.6714048355
333,1792307.9660287125
334,1823152.4476858336
335,1765072.019019236
336,1731135.293638464
337,1661713.4059861968
338,1622439.4305972476
339,1714347.2375173154
340,1721472.153170502
341,1741702.9008922577
342,1723253.1584895926
343,1672454.8130934713
344,1665503.3015769355
345,1641036.7801924336
346,1627140.447834801
347,1566518.9621882862
348,1597255.540709706
349,1578404.5424301503
350,1590939.5782442174
351,1594660.8756910227
352,1653222.9730988566
353,1609370.2157357926
354,1578176.7852991915
355,1618344.2447952116
356,1613316.6731227525
357,1554333.823395744
358,1526111.735346772
359,1542901.8599753417
360,1543151.0968054861
361,1595942.815643691
362,1606260.975665741
363,1588202.10969929
364,1631382.3742261673
365,1631059.2590917957
366,1634274.3849648624
367,1640628.4637237105
368,1637862.0377625164
369,1602333.0505765374
370,1600449.3579090703
371,1559544.2059105972
372,1565467.194930811
373,1560936.4348689236
374,1505854.3199086185
375,1482875.8077762574
376,1474532.0645088519
377,1463212.8167245542
378,1470893.7710072186
379,1530851.6068014884
380,1550150.662156053
381,1577433.0523463858
382,1576348.0629316897
383,1609535.517184402
384,1611944.7508110693
385,1604457.1094063963
386,1542333.200104067
387,1549705.60988243
388,1569127.887221754
389,1555456.8928349558
390,1601329.5276832916
391,1616700.7779187663
392,1637919.91405045
393,1634193.150048169
394,1621739.968681515
395,1617022.143726053
396,1618024.035381951
397,1660887.1529585395
398,1614012.1524800998
399,1616029.7752039419
400,1623748.7266407188
401,1625933.6647351983
402,1645739.928307093
403,1639665.3427881966
404,1590967.8822217577
405,1573341.1290223242
406,1569511.5027468577
407,1572885.1374945093
408,1591289.4626480162
409,1599195.2784965532
410,1566064.5624349702
411,1552062.4158303617
412,1538271.9427170493
413,1503137.5711689573
414,1508212.7826555339
415,1509734.0212951717
416,1546905.749168114
417,1520605.7463174658
418,1520157.000386114
419,1572858.1081490275
420,1591949.100374175
421,1622642.037372794
422,1585506.357161138
423,1594139.3348055086
424,1597267.0223726702
425,1609728.5402601894
426,1629295.8622972022
427,1627501.0167089957
428,1626981.8364541759
429,1632187.4526311085
430,1643951.28682215
431,1666972.872408491
432,1664024.7855177529
433,1660063.2757095867
434,1638049.947725283
435,1681646.2792083924
436,1671369.6614813905
437,1673315.8803809953
438,1662506.724073717
439,1659229.5299747433
440,1670883.1740066851
441,1652520.1148886972
442,1690643.866167896
443,1700090.1169977603
444,1705903.1957158572
445,1734079.3996854401
446,1728952.9448216893
447,1726574.8368110396
448,1737953.2126342726
449,1725481.4070219826
450,1729978.165227376
451,1736491.0754142264
452,1710689.2967468954
453,1742712.5183902283
454,1753915.3086054258
455,1749150.1522332486
456,1783671.8906305146
457,1785264.1621380202
458,1774583.6842990709
459,1771961.5167883893
460,1761383.7207497621
461,1763200.8072320102
462,1778884.0498945294
463,1789764.4546336734
464,1831188.815828722
465,1826161.069764732
466,1817181.9069184936
467,1801466.801956369
468,1802610.9850166808
469,1771654.6421189385
470,1778741.9757210012
471,1766891.9708159408
472,1743341.2635748442
473,1742101.5117854744
474,1770688.723174906
475,1771549.8981112198
476,1763322.3807087597
477,1732644.752820037
478,1766412.6210013563
479,1753439.3451609744
480,1746826.2691339916
481,1738653.4652347313
482,1787497.5115440334
483,1816524.7865789093
484,1822806.3409962084
485,1828520.586822443
486,1828249.856842437
487,1822140.574064503
488,1830460.3891462819
489,1836234.4382927606
490,1845054.3781650178
491,1845952.4952513983
492,1835252.4835101485
493,1846289.135265192
494,1835373.721331285
495,1836168.2482438358
496,1845775.8925427767
497,1862485.6309372906
